timestamp,person_id,x,y
12.6,personFlow2.0,267.48,177.035
12.6,personFlow2.1,269.802,187.833
12.65,personFlow1.0,266.84,181.855
12.65,personFlow1.1,266.84,170.503
12.65,personFlow2.0,267.48,176.969
12.65,personFlow2.1,269.744,187.83
12.7,personFlow1.0,266.84,181.91
12.7,personFlow1.1,266.84,170.56
12.7,personFlow2.0,267.48,176.899
12.7,personFlow2.1,269.692,187.826
12.75,personFlow1.0,266.84,181.966
12.75,personFlow1.1,266.84,170.629
12.75,personFlow2.0,267.48,176.84
12.75,personFlow2.1,269.634,187.823
12.8,personFlow1.0,266.84,182.024
12.8,personFlow1.1,266.84,170.693
12.8,personFlow2.0,267.48,176.777
12.8,personFlow2.1,269.583,187.82
12.85,personFlow1.0,266.84,182.078
12.85,personFlow1.1,266.84,170.759
12.85,personFlow2.0,267.48,176.718
12.85,personFlow2.1,269.526,187.816
12.9,personFlow1.0,266.84,182.132
12.9,personFlow1.1,266.84,170.826
12.9,personFlow2.0,267.48,176.652
12.9,personFlow2.1,269.474,187.813
12.95,personFlow1.0,266.84,182.195
12.95,personFlow1.1,266.84,170.884
12.95,personFlow2.0,267.48,176.588
12.95,personFlow2.1,269.421,187.81
13,personFlow1.0,266.84,182.249
13,personFlow1.1,266.84,170.941
13,personFlow2.0,267.48,176.526
13,personFlow2.1,269.363,187.806
13.05,personFlow1.0,266.84,182.309
13.05,personFlow1.1,266.84,171.009
13.05,personFlow2.0,267.48,176.461
13.05,personFlow2.1,269.313,187.803
13.1,personFlow1.0,266.84,182.369
13.1,personFlow1.1,266.84,171.075
13.1,personFlow2.0,267.48,176.399
13.1,personFlow2.1,269.26,187.8
13.15,personFlow1.0,266.84,182.433
13.15,personFlow1.1,266.84,171.144
13.15,personFlow2.0,267.48,176.335
13.15,personFlow2.1,269.209,187.796
13.2,personFlow1.0,266.84,182.493
13.2,personFlow1.1,266.84,171.202
13.2,personFlow2.0,267.48,176.265
13.2,personFlow2.1,269.154,187.793
13.25,personFlow1.0,266.84,182.557
13.25,personFlow1.1,266.84,171.269
13.25,personFlow2.0,267.48,176.193
13.25,personFlow2.1,269.097,187.79
13.3,personFlow1.0,266.84,182.61
13.3,personFlow1.1,266.84,171.333
13.3,personFlow2.0,267.48,176.133
13.3,personFlow2.1,269.043,187.786
13.35,personFlow1.0,266.84,182.674
13.35,personFlow1.1,266.84,171.392
13.35,personFlow2.0,267.48,176.074
13.35,personFlow2.1,268.992,187.783
13.4,personFlow1.0,266.84,182.734
13.4,personFlow1.1,266.84,171.45
13.4,personFlow2.0,267.48,176.003
13.4,personFlow2.1,268.939,187.78
13.45,personFlow1.0,266.84,182.789
13.45,personFlow1.1,266.84,171.514
13.45,personFlow2.0,267.48,175.935
13.45,personFlow2.1,268.887,187.777
13.5,personFlow1.0,266.84,182.853
13.5,personFlow1.1,266.84,171.575
13.5,personFlow2.0,267.48,175.871
13.5,personFlow2.1,268.828,187.773
13.55,personFlow1.0,266.84,182.912
13.55,personFlow1.1,266.84,171.642
13.55,personFlow2.0,267.48,175.809
13.55,personFlow2.1,268.767,187.769
13.6,personFlow1.0,266.84,182.974
13.6,personFlow1.1,266.84,171.707
13.6,personFlow2.0,267.48,175.744
13.6,personFlow2.1,268.711,187.766
13.65,personFlow1.0,266.84,183.038
13.65,personFlow1.1,266.84,171.766
13.65,personFlow2.0,267.48,175.686
13.65,personFlow2.1,268.662,187.763
13.7,personFlow1.0,266.84,183.096
13.7,personFlow1.1,266.84,171.829
13.7,personFlow2.0,267.48,175.616
13.7,personFlow2.1,268.607,187.759
13.75,personFlow1.0,266.84,183.157
13.75,personFlow1.1,266.84,171.892
13.75,personFlow2.0,267.48,175.551
13.75,personFlow2.1,268.55,187.756
