timestamp,person_id,x_gt,y_gt
13.5,personFlow1.0,266.84,182.97
13.5,personFlow1.1,266.84,171.616
13.55,personFlow1.0,266.84,183.024
13.55,personFlow1.1,266.84,171.68
13.6,personFlow1.0,266.84,183.078
13.6,personFlow1.1,266.84,171.736
13.65,personFlow1.0,266.84,183.142
13.65,personFlow1.1,266.84,171.794
13.7,personFlow1.0,266.84,183.2
13.7,personFlow1.1,266.84,171.863
13.75,personFlow1.0,266.84,183.258
13.75,personFlow1.1,266.84,171.928
13.8,personFlow1.0,266.84,183.313
13.8,personFlow1.1,266.84,171.994
13.85,personFlow1.0,266.84,183.372
13.85,personFlow1.1,266.84,172.061
13.9,personFlow1.0,266.84,183.434
13.9,personFlow1.1,266.84,172.118
13.95,personFlow1.0,266.863,183.545
13.95,personFlow1.1,266.84,172.179
14,personFlow1.0,266.878,183.597
14,personFlow1.1,266.84,172.236
14.05,personFlow1.0,266.895,183.652
14.05,personFlow1.1,266.84,172.299
14.1,personFlow1.0,266.911,183.706
14.1,personFlow1.1,266.84,172.369
14.15,personFlow1.0,266.928,183.762
14.15,personFlow1.1,266.84,172.426
14.2,personFlow1.0,266.944,183.815
14.2,personFlow1.1,266.84,172.492
14.25,personFlow1.0,266.94,183.808
14.25,personFlow1.1,266.84,172.56
14.3,personFlow1.0,266.94,183.866
14.3,personFlow1.1,266.84,172.63
14.35,personFlow1.0,266.94,183.929
14.35,personFlow1.1,266.84,172.689
14.4,personFlow1.0,266.94,183.984
14.4,personFlow1.1,266.84,172.759
14.45,personFlow1.0,266.94,184.047
14.45,personFlow1.1,266.84,172.828
14.5,personFlow1.0,266.94,184.1
14.5,personFlow1.1,266.84,172.885
14.55,personFlow1.0,266.94,184.156
14.55,personFlow1.1,266.84,172.946
14.6,personFlow1.0,266.94,184.212
14.6,personFlow1.1,266.84,173.008
14.65,personFlow1.0,266.94,184.274
14.65,personFlow1.1,266.84,173.068
14.7,personFlow1.0,266.94,184.329
14.7,personFlow1.1,266.84,173.132
14.75,personFlow1.0,266.94,184.388
14.75,personFlow1.1,266.84,173.195
