timestamp,id,sensor,x,y
28.75,car0,5,267.22,178.59,3
28.8,car0,5,267.237,178.671,3
28.85,car0,5,267.252,178.74,3
28.9,car0,5,267.266,178.804,3
28.95,car0,5,267.279,178.867,3
29,car0,5,267.294,178.938,3
29.05,car0,5,267.309,179.008,3
29.1,car0,5,267.322,179.068,3
29.15,car0,5,267.333,179.122,3
29.2,car0,5,267.346,179.182,3
29.25,car0,5,267.358,179.24,3
29.3,car0,5,267.371,179.299,3
29.35,car0,5,267.383,179.358,3
29.4,car0,5,267.396,179.419,3
29.45,car0,5,267.41,179.485,3
29.5,car0,5,267.424,179.552,3
29.55,car0,5,267.439,179.62,3
29.6,car0,5,267.452,179.681,3
29.65,car0,5,267.464,179.74,3
29.7,car0,5,267.478,179.805,3
29.75,car0,5,267.493,179.874,3
29.8,car0,5,267.506,179.935,3
29.85,car0,5,267.519,179.998,3
29.9,car0,5,267.534,180.065,3
29.95,car0,5,267.547,180.127,3
30,car0,5,267.56,180.19,3
30.05,car0,5,267.575,180.26,3
30.1,car0,5,267.589,180.328,3
30.15,car0,5,267.605,180.403,3
30.2,car0,5,267.62,180.472,3
30.25,car0,5,267.636,180.548,3
30.3,car0,5,267.652,180.624,3
30.35,car0,5,267.669,180.701,3
30.4,car0,5,267.685,180.776,3
30.45,car0,5,267.701,180.853,3
30.5,car0,5,267.716,180.922,3
30.55,car0,5,267.731,180.995,3
31.15,car0,0,267.742,168.636,3
31.2,car0,0,267.728,168.699,4
31.25,car0,0,267.715,168.76,4
31.3,car0,0,267.703,168.818,4
31.35,car0,0,267.69,168.876,4
31.4,car0,0,267.678,168.937,4
31.45,car0,0,267.663,169.003,4
31.5,car0,0,267.649,169.071,4
31.55,car0,0,267.636,169.132,4
31.6,car0,0,267.622,169.197,4
31.65,car0,0,267.609,169.259,4
31.7,car0,0,267.596,169.322,4
31.75,car0,0,267.581,169.394,4
31.8,car0,0,267.564,169.47,4
31.85,car0,0,267.55,169.537,4
31.9,car0,0,267.535,169.61,4
31.95,car0,0,267.521,169.675,4
32,car0,0,267.506,169.746,4
32.05,car0,0,267.492,169.808,4
32.1,car0,0,267.477,169.882,4
32.15,car0,0,267.464,169.943,4
32.2,car0,0,267.45,170.008,4
32.25,car0,0,267.435,170.08,4
32.3,car0,0,267.419,170.152,4
32.35,car0,0,267.405,170.221,4
32.4,car0,0,267.39,170.29,4
32.45,car0,0,267.375,170.36,4
32.5,car0,0,267.362,170.422,4
32.55,car0,0,267.348,170.486,4
32.6,car0,0,267.335,170.551,4
32.65,car0,0,267.32,170.617,4
32.7,car0,0,267.308,170.674,4
32.75,car0,0,267.297,170.73,4
32.8,car0,0,267.285,170.783,4
32.85,car0,0,267.273,170.839,4
32.9,car0,0,267.266,170.872,4
32.95,car0,0,267.253,170.932,4
33,car0,0,267.24,170.998,4
33.05,car0,0,267.226,171.062,4
33.1,car0,0,267.211,171.131,4
33.15,car0,0,267.198,171.194,4
33.2,car0,0,267.184,171.257,4
33.25,car0,0,267.172,171.314,4
33.3,car0,0,267.159,171.376,4
33.35,car0,0,267.147,171.432,4
33.4,car0,0,267.135,171.492,4
33.45,car0,0,267.123,171.547,4
33.5,car0,0,267.109,171.613,4
33.55,car0,0,267.093,171.686,4
33.6,car0,0,267.078,171.758,4
33.65,car0,0,267.061,171.836,4
33.7,car0,0,267.048,171.901,4
33.75,car0,0,267.032,171.973,4
33.8,car0,0,267.019,172.035,4
33.85,car0,0,267.007,172.091,4
33.9,car0,0,266.993,172.157,4
33.95,car0,0,266.98,172.218,4
34,car0,0,266.969,172.27,4
34.05,car0,0,266.963,172.297,4
34.1,car0,0,266.948,172.368,4
34.15,car0,0,266.933,172.439,4
34.2,car0,0,266.919,172.504,4
34.25,car0,0,266.907,172.562,4
34.3,car0,0,266.895,172.619,4
34.35,car0,0,266.88,172.688,4
34.4,car0,0,266.868,172.747,4
34.45,car0,0,266.855,172.806,4
34.5,car0,0,266.842,172.866,4
34.55,car0,0,266.831,172.922,4
34.6,car0,0,266.817,172.987,4
34.65,car0,0,266.805,173.044,4
34.7,car0,0,266.791,173.108,4
34.75,car0,0,266.78,173.161,4
34.8,car0,0,266.767,173.221,4
34.85,car0,0,266.756,173.275,4
34.9,car0,0,266.744,173.331,4
34.95,car0,0,266.736,173.366,4
35,car0,1,267.346,173.691,4
35.05,car0,1,267.275,173.753,4
35.1,car0,1,267.229,173.794,4
35.15,car0,1,267.184,173.832,4
35.2,car0,1,267.091,173.913,4
35.25,car0,1,267.038,173.959,4
35.3,car0,1,267,173.992,4
35.35,car0,1,266.963,174.024,4
35.4,car0,1,266.928,174.055,4
35.45,car0,1,266.895,174.083,4
35.5,car0,1,266.866,174.109,4
35.55,car0,1,266.845,174.127,4
35.6,car0,1,266.89,174.088,4
35.75,car0,2,267.087,174.605,4
35.8,car0,2,266.921,174.628,4
35.85,car0,2,266.899,174.631,4
35.9,car0,2,266.887,174.633,4
35.95,car0,2,266.887,174.633,4
36,car0,2,266.933,174.627,4
36.05,car0,2,267.156,174.595,4
36.1,car0,3,267.072,175.073,4
36.15,car0,3,266.889,175.047,4
36.2,car0,3,266.886,175.047,4
36.25,car0,3,266.892,175.048,4
36.3,car0,3,266.909,175.05,4
36.35,car0,3,266.953,175.056,4
36.4,car0,3,267.098,175.077,4
36.55,car0,4,266.85,175.557,4
36.6,car0,4,266.843,175.551,4
36.65,car0,4,266.866,175.571,4
36.7,car0,4,266.894,175.596,4
36.75,car0,4,266.925,175.622,4
36.8,car0,4,266.958,175.652,4
36.85,car0,4,266.998,175.686,4
36.9,car0,4,267.052,175.733,4
36.95,car0,4,267.125,175.797,4
37,car0,4,267.174,175.839,4
37.05,car0,4,267.214,175.873,4
37.1,car0,4,267.28,175.931,4
37.15,car0,5,266.722,176.248,4
37.2,car0,5,266.731,176.288,4
37.25,car0,5,266.741,176.338,4
37.3,car0,5,266.754,176.397,4
37.35,car0,5,266.765,176.449,4
37.4,car0,5,266.778,176.51,4
37.45,car0,5,266.791,176.571,4
37.5,car0,5,266.805,176.636,4
