timestamp,car_id,sensor_id,track_id,gt_x,gt_y,track_x,track_y
91.05,car0,5,90,266.84,178.949,267.221,178.596
91.1,car0,5,90,266.84,179.0,267.234,178.654
91.15,car0,5,90,266.84,179.057,267.247,178.716
91.2,car0,5,90,266.84,179.111,267.26,178.777
91.25,car0,5,90,266.84,179.161,267.27,178.826
91.3,car0,5,90,266.84,179.211,267.28,178.874
91.35,car0,5,90,266.84,179.267,267.292,178.929
91.4,car0,5,90,266.84,179.316,267.302,178.977
91.45,car0,5,90,266.84,179.366,267.313,179.025
91.5,car0,5,90,266.84,179.421,267.324,179.08
91.55,car0,5,90,266.84,179.479,267.334,179.127
91.6,car0,5,90,266.84,179.537,267.345,179.176
91.65,car0,5,90,266.84,179.591,267.354,179.222
91.7,car0,5,90,266.84,179.65,267.365,179.273
91.75,car0,5,90,266.84,179.705,267.375,179.321
91.8,car0,5,90,266.84,179.753,267.384,179.364
91.85,car0,5,90,266.84,179.808,267.395,179.413
91.9,car0,5,90,266.84,179.859,267.405,179.459
91.95,car0,5,90,266.84,179.914,267.415,179.51
92.0,car0,5,90,266.84,179.968,267.426,179.56
92.05,car0,5,90,266.84,180.02,267.436,179.607
92.1,car0,5,90,266.84,180.074,267.447,179.659
92.15,car0,5,90,266.84,180.127,267.458,179.71
92.2,car0,5,90,266.84,180.184,267.469,179.764
92.25,car0,5,90,266.84,180.238,267.481,179.816
92.3,car0,5,90,266.84,180.291,267.492,179.868
92.35,car0,5,90,266.84,180.343,267.502,179.918
92.4,car0,5,90,266.84,180.394,267.513,179.968
92.45,car0,5,90,266.84,180.443,267.523,180.017
92.5,car0,5,90,266.84,180.501,267.536,180.075
92.55,car0,5,90,266.84,180.558,267.548,180.132
92.6,car0,5,90,266.84,180.617,267.56,180.191
92.65,car0,5,90,266.84,180.669,267.572,180.246
92.7,car0,5,90,266.84,180.726,267.584,180.304
92.75,car0,5,90,266.84,180.781,267.597,180.362
92.8,car0,5,90,266.84,180.837,267.609,180.42
92.85,car0,5,90,266.84,180.886,267.62,180.473
92.9,car0,5,90,266.84,180.934,267.631,180.525
92.95,car0,5,90,266.84,180.986,267.643,180.582
93.0,car0,5,90,266.84,181.044,267.657,180.646
93.05,car0,5,90,266.84,181.102,267.671,180.712
93.1,car0,5,90,266.84,181.16,267.685,180.778
93.15,car0,5,90,266.84,181.208,267.697,180.834
93.2,car0,5,90,266.84,181.262,267.708,180.885
93.25,car0,5,90,266.84,181.317,267.719,180.938
93.3,car0,5,90,266.84,181.374,267.731,180.993
93.35,car0,5,90,266.84,181.423,267.741,181.042
