timestamp,id,sensor,x,y
17.85,car0,5,266.856,176.879,4
17.9,car0,1,267.444,173.607,4
17.9,car0,5,266.87,176.943,4
17.95,car0,1,267.471,173.583,4
17.95,car0,5,266.884,177.008,4
18,car0,1,267.496,173.561,4
18,car0,5,266.898,177.075,4
18.05,car0,1,267.522,173.538,4
18.05,car0,5,266.909,177.129,4
18.1,car0,1,267.554,173.511,4
18.1,car0,5,266.922,177.187,4
18.15,car0,1,267.577,173.491,4
18.15,car0,5,266.934,177.246,4
18.2,car0,1,267.609,173.463,4
18.2,car0,5,266.947,177.307,4
18.25,car0,1,267.632,173.443,4
18.25,car0,5,266.959,177.362,4
18.3,car0,1,267.67,173.41,4
18.3,car0,5,266.972,177.425,4
18.35,car0,1,267.695,173.388,4
18.35,car0,5,266.985,177.486,4
18.4,car0,1,267.729,173.359,4
18.4,car0,5,266.996,177.539,4
18.45,car0,1,267.758,173.333,4
18.45,car0,5,267.008,177.593,4
18.5,car0,1,267.792,173.303,4
18.5,car0,5,267.019,177.645,4
18.55,car0,1,267.834,173.267,4
18.55,car0,5,267.031,177.701,4
18.6,car0,1,267.862,173.243,4
18.6,car0,5,267.042,177.752,4
18.65,car0,1,267.903,173.208,4
18.65,car0,5,267.054,177.809,4
18.7,car0,1,267.94,173.175,4
18.7,car0,5,267.066,177.863,4
18.75,car0,1,267.987,173.134,4
18.75,car0,5,267.076,177.913,4
18.8,car0,1,268.032,173.095,4
18.8,car0,5,267.087,177.963,4
18.85,car0,1,268.067,173.065,4
18.85,car0,5,267.099,178.023,4
18.9,car0,1,268.112,173.026,4
18.9,car0,5,267.111,178.079,4
18.95,car0,1,268.167,172.978,4
18.95,car0,5,267.124,178.14,4
19,car0,1,268.26,172.897,4
19,car0,5,267.138,178.206,4
19.05,car0,5,267.151,178.263,4
19.1,car0,5,267.165,178.332,4
19.15,car0,0,266.993,172.159,4
19.15,car0,5,267.18,178.401,4
19.2,car0,0,266.999,172.128,4
19.2,car0,5,267.193,178.461,4
19.25,car0,0,267.01,172.077,4
19.25,car0,5,267.206,178.525,4
19.3,car0,0,267.023,172.017,4
19.3,car0,5,267.219,178.587,4
19.35,car0,0,267.039,171.941,4
19.35,car0,5,267.233,178.651,4
19.4,car0,0,267.048,171.898,4
19.4,car0,5,267.246,178.713,4
19.45,car0,0,267.056,171.86,4
19.45,car0,5,267.261,178.784,4
19.5,car0,0,267.067,171.812,4
19.5,car0,5,267.274,178.845,4
19.55,car0,0,267.078,171.76,4
19.55,car0,5,267.288,178.91,4
19.6,car0,0,267.088,171.711,4
19.6,car0,5,267.3,178.969,4
